NAME,CATEGORY,SUBCATEGORY,ORDER,INCLUDES
ACTIVE PRODUCT USE,DATASOURCE,DATASOURCE,1,
BEACONS,DATASOURCE,DATASOURCE,2,
CELL TOWERS,DATASOURCE,DATASOURCE,3,
COOKIES,DATASOURCE,DATASOURCE,4,
DEVICES,DATASOURCE,DATASOURCE,5,
PUBLIC DATA SOURCES,DATASOURCE,DATASOURCE,7,
THIRD PARTY APPLICATIONS,DATASOURCE,DATASOURCE,8,
THIRD PARTY DATA BROKERS,DATASOURCE,DATASOURCE,6,
USER PROVIDED,DATASOURCE,DATASOURCE,9,
WIFI ACCESS POINTS,DATASOURCE,DATASOURCE,10,
ACCOUNT SECURITY,PURPOSE,SAFETY AND SECURITY,1,"ACCOUNT SECURITY, ANTI-FRAUD, DETECT MALWARE, VERIFY ACTIVITY, VERIFY IDENTITY, FACIAL RECOGNITION"
ADVERTISING,PURPOSE,ADVERTISING,2,"IMPROVE ADS, MEASURE AD PERFORMANCE, PERSONALIZE ADS, PROVIDE ADS, SPONSORED CONTENT, THIRD PARTY ADVERTISING"
ANALYTICS,PURPOSE,ANALYTICS,3,"ALGORITHMS, MEASURE PERFORMANCE, PROCESSING SEARCH TERMS"
ANY PURPOSE,PURPOSE,ANY PURPOSE,4,
COMPANY OPERATIONS,PURPOSE,OPERATIONS,5,"AUDITING, CONNECTING ACROSS PRODUCTS/DEVICES, CUSTOMER SERVICE, FINANCIAL TRANSACTIONS, LEGAL COMPLIANCE, MAINTAINING PRODUCTS/SERVICES, TRACKING OUTAGES"
IMPROVE PRODUCTS,PURPOSE,ANALYTICS,6,"IMPROVE APPLICATIONS, IMPROVE CONTENT, IMPROVE PRODUCTS/SERVICES, IMPROVE STORES"
LEARN USERS' BEHAVIOR,PURPOSE,ANALYTICS,7,"LEARN FROM USERS, UNDERSTAND CUSTOMER BEHAVIOR"
LEGAL COMPLIANCE,PURPOSE,THIRD PARTY,8,LAW ENFORCEMENT REQUESTS
LOCATION-BASED SERVICES,PURPOSE,OPERATIONS,9,"DELIVER PURCHASES, DIRECTIONS, NEARBY RECOMMENDATIONS"
PERSONALIZE CONTENT,PURPOSE,ANALYTICS,10,PERSONALIZE CONTENT
PERSONALIZE PRODUCTS,PURPOSE,ANALYTICS,11,"CUSTOMIZE SEARCH RESULTS, PERSONAILZE PRODUCTS/SERVICES"
PRODUCT SAFETY,PURPOSE,SAFETY AND SECURITY,12,"DETECT SUSPICIOUS CONTENT, DETECT/PREVENT SPAM, INVESTIGATE VIOLATIONS, LOSS PREVENTION, NETWORK SECURITY, PREVENT HARM, PROTECT SERVICES, PROTECT USERS/PUBLIC"
PROTECT COMPANY,PURPOSE,SAFETY AND SECURITY,13,PROTECT COMPANY
PROVIDE SERVICES,PURPOSE,OPERATIONS,14,"APPLICATIONS, PROVIDE CONTENT, PROVIDE FEATURES, PROVIDE PRODUCTS, PROVIDE SEARCH RESULTS, PROVIDE SERVICES, PURCHASES, SUGGESTIONS/RECOMMENDATIONS, FACIAL RECOGNITION"
RESEARCH AND DEVELOPMENT,PURPOSE,RESEARCH AND DEVELOPMENT,15,"NEW PRODUCTS/SERVICES, RESEARCH AND INNOVATE FOR SOCIAL GOOD, SURVEYS, TECHNOLOGICAL ADVANCEMENT, TEST PRODUCTS/SERVICES"
SERVICES FOR EXTERNAL BUSINESSES,PURPOSE,THIRD PARTY,16,"FULFILLMENT, HELP ADVERTISERS, TECHNICAL SERVICES"
